stopwords,stemmed,lemmatized
ausschuessen,ausschuess,ausschuessen
ausschuss,ausschuss,ausschuss
ausschusse,ausschuss,ausschusse
ausschusses,ausschuss,ausschusses
ausschuss,ausschuss,ausschuss
aussprache,aussprach,aussprache
auswaertigen,auswaert,auswaertigen
auswirkungen,auswirk,auswirkungen
ausserdem,ausserd,ausserdem
ausserordentlich,ausserordent,ausserordentlich
bald,bald,bald
beamten,beamt,beamten
beantragt,beantragt,beantragen
beantworten,beantwort,beantworten
bedarf,bedarf,bedarf
bedenken,bedenk,bedenken
bedeutet,bedeutet,bedeuten
bedeutung,bedeut,bedeutung
bedingungen,beding,bedingungen
befasst,befasst,befasst
beginn,beginn,beginn
begruenden,begruend,begruenden
begruendet,begruendet,begruendet
begruendung,begruend,begruendung
begruessen,begruess,begruessen
behandeln,behandeln,behandeln
behandelt,behandelt,behandeln
behandlung,behandl,behandlung
bei,bei,bei
beide,beid,beid
beiden,beid,beid
beim,beim,beim
beispiel,beispiel,beispiel
beispiele,beispiel,beispiele
beispielsweise,beispielsweis,beispielsweise
beitrag,beitrag,beitrag
bekannt,bekannt,bekennen
bekommen,bekomm,bekommen
bemerkung,bemerk,bemerkung
bemerkungen,bemerk,bemerkungen
bemuehen,bemueh,bemuehen
bemueht,bemueht,bemueht
bemuehungen,bemueh,bemuehungen
beraten,berat,beraten
beratung,berat,beratung
beratungen,berat,beratungen
bereich,bereich,bereich
bereichen,bereich,bereichen
bereit,bereit,bereiten
bereits,bereit,bereits
bericht,bericht,bericht
berichterstatter,berichterstatt,berichterstatter
berlin,berlin,berlin
beruecksichtigt,beruecksichtigt,beruecksichtigt
beschaeftigen,beschaeft,beschaeftigen
beschaeftigt,beschaeftigt,beschaeftigt
beschlossen,beschloss,beschließen
beschluss,beschluss,beschluss
beschlussempfehlung,beschlussempfehl,beschlussempfehlung
besondere,besond,besonder
besonderen,besond,besonder
besonders,besond,besonders
besser,bess,gut
bessere,bess,gut
bestehen,besteh,bestehen
besteht,besteht,bestehen
bestimmt,bestimmt,bestimmen
bestimmte,bestimmt,bestimmen
bestimmten,bestimmt,bestimmen
bestimmung,bestimm,bestimmung
bestimmungen,bestimm,bestimmungen
beteiligt,beteiligt,beteiligen
beteiligten,beteiligt,beteiligen
betrag,betrag,betrag
betreiben,betreib,betreiben
betriebe,betrieb,betreiben
betrieben,betrieb,betrieben
betrifft,betrifft,betreffen
betroffenen,betroff,betroffen
bevoelkerung,bevoelker,bevoelkerung
bevolkerung,bevolker,bevolkerung
bevor,bevor,bevor
bewusst,bewusst,bewusst
bewusst,bewusst,bewusst
beziehungen,bezieh,beziehungen
bezueglich,bezueg,bezueglich
bezug,bezug,bezug
bin,bin,sein
bis,bis,bis
bisher,bish,bisher
bisherigen,bisher,bisherig
bisschen,bissch,bisschen
bist,bist,sein
bitte,bitt,bitte
bitten,bitt,bitten
bisschen,bissch,bisschen
bleiben,bleib,bleiben
bleibt,bleibt,bleiben
blick,blick,blick
bonn,bonn,bonn
brauchen,brauch,brauchen
braucht,braucht,brauchen
bringen,bring,bringen
bringt,bringt,bringen
buendnis,buendnis,buendnis
buerger,buerg,buerger
buergerinnen,buergerinn,buergerinnen
bund,bund,bund
bundes,bund,bundes
bundeskanzler,bundeskanzl,bundeskanzler
bundeskanzlerin,bundeskanzlerin,bundeskanzlerin
bundeslaender,bundesla,bundeslaender
bundeslaendern,bundesla,bundeslaendern
bundesminister,bundesminist,bundesminister
bundesministerium,bundesministerium,bundesministerium
bundesrat,bundesrat,bundesrat
bundesregierung,bundesregier,bundesregierung
bundesrepublik,bundesrepubl,bundesrepublik
bundestag,bundestag,bundestag
bundestages,bundestag,bundestages
bundnis,bundnis,bundnis
burger,burg,burger
burgerinnen,burgerinn,burgerinnen
but,but,but
bzw,bzw,bzw
cdu,cdu,cdu
chance,chanc,chance
cronenberg,cronenberg,cronenberg
csu,csu,csu
da,da,da
dabei,dabei,dabei
dadurch,dadurch,dadurch
dafuer,dafu,dafuer
dafur,dafur,dafur
dagegen,dageg,dagegen
daher,dah,daher
dahin,dahin,dahin
damals,damal,damals
damen,dam,damen
damit,damit,damit
danach,danach,danach
dank,dank,danken
dankbar,dankbar,dankbar
danke,dank,danke
dann,dann,dann
daran,daran,daran
darauf,darauf,darauf
daraus,daraus,daraus
darf,darf,dürfen
darin,darin,darin
daruber,darub,daruber
darueber,darueb,darueber
darum,darum,darum
das,das,der
dass,dass,dass
dasselbe,dasselb,derselbe
davon,davon,davon
dazu,dazu,dazu
dass,dass,dass
debatte,debatt,debatte
dehler,dehl,dehler
dein,dein,mein
deine,dein,mein
deinem,dein,mein
deinen,dein,mein
deiner,dein,sich
deines,dein,mein
dem,dem,der
dementsprechend,dementsprech,dementsprechend
demokratie,demokrati,demokratie
demokratischen,demokrat,demokratisch
demselben,demselb,derselbe
den,den,der
denen,den,der
denke,denk,denken
denken,denk,denken
denn,denn,denn
dennoch,dennoch,dennoch
denselben,denselb,derselbe
der,der,der
deren,der,der
derer,der,derer
derselbe,derselb,derselbe
derselben,derselb,derselbe
derzeit,derzeit,derzeit
des,des,der
deshalb,deshalb,deshalb
desselben,desselb,derselbe
dessen,dess,der
deswegen,desweg,deswegen
deutlich,deutlich,deutlich
deutsche,deutsch,deutsch
deutschen,deutsch,deutsch
deutscher,deutsch,deutsch
deutschland,deutschland,deutschland
deutschlands,deutschland,deutschlands
dezember,dezemb,dezember
dich,dich,sich
die,die,der
diejenigen,diejen,derjenige
dienen,dien,dienen
dienst,dien,dienen
dienstag,dienstag,dienstag
dies,dies,dies
diese,dies,dies
dieselbe,dieselb,derselbe
dieselben,dieselb,derselbe
diesem,dies,dies
diesen,dies,dies
dieser,dies,dies
dieses,dies,dies
dieter,diet,dieter
dinge,ding,dinge
dingen,ding,dingen
dir,dir,sich
diskussion,diskussion,diskussion
diskutieren,diskuti,diskutieren
diskutiert,diskutiert,diskutieren
dm,dm,dm
doch,doch,doch
donnerstag,donnerstag,donnerstag
dort,dort,dort
dr,dr,dr
draussen,drauss,draussen
drei,drei,drei
dringend,dringend,dringen
dritte,dritt,dritt
dritten,dritt,dritt
drittens,dritt,drittens
drucksache,drucksach,drucksache
drucksachen,drucksach,drucksachen
du,du,du
duerfen,duerf,duerfen
durch,durch,durch
durchaus,durchaus,durchaus
durchfuehrung,durchfuehr,durchfuehrung
durchgefuehrt,durchgefuehrt,durchgefuehrt
durfen,durf,durfen
eben,eben,eben
ebene,eben,eben
ebenfalls,ebenfall,ebenfalls
ebenso,ebenso,ebenso
egal,egal,egal
ehemaligen,ehemal,ehemalig
eher,eher,eher
ehlers,ehl,ehlers
ehrlich,ehrlich,ehrlich
eigene,eig,eigene
eigenen,eig,eigen
eigentlich,eigent,eigentlich
ein,ein,einen
eindeutig,eindeut,eindeutig
eindruck,eindruck,eindruck
eine,ein,einen
einem,ein,einer
einen,ein,ein
einer,ein,einer
eines,ein,ein
einfach,einfach,einfach
einfuehrung,einfuehr,einfuehrung
eingebracht,eingebracht,einbringen
eingehen,eingeh,eingehen
eingehend,eingeh,eingehen
eingeraumt,eingeraumt,eingeraumt
eingesetzt,eingesetzt,einsetzen
einheit,einheit,einheit
einig,einig,einigen
einige,einig,einig
einigem,einig,einig
einigen,einig,einig
einiger,einig,einig
einiges,einig,einig
einkommen,einkomm,einkommen
einmal,einmal,einmal
einstimmig,einstimm,einstimmig
eintreten,eintret,eintreten
einverstanden,einverstand,einverstanden
einzelne,einzeln,einzelne
einzelnen,einzeln,einzeln
einzige,einzig,einzig
ende,end,ende
endlich,endlich,endlich
enthalten,enthalt,enthalten
enthaltungen,enthalt,enthaltungen
entscheiden,entscheid,entscheiden
entscheidende,entscheid,entscheidend
entscheidung,entscheid,entscheidung
entscheidungen,entscheid,entscheidungen
entschieden,entschied,entscheiden
entsprechend,entsprech,entsprechen
entsprechende,entsprech,entsprechend
entsprechenden,entsprech,entsprechend
entspricht,entspricht,entsprechen
entstehen,entsteh,entstehen
entwicklung,entwickl,entwicklung
entwurf,entwurf,entwurf
entwurfs,entwurf,entwurfs
er,er,ich
erfahrungen,erfahr,erfahrungen
erfolg,erfolg,erfolg
erfolgen,erfolg,erfolgen
erfolgt,erfolgt,erfolgen
erforderlich,erford,erforderlich
erfuellen,erfuell,erfuellen
erfuellt,erfuellt,erfuellt
ergeben,ergeb,ergeben
ergebnis,ergebnis,ergebnis
ergibt,ergibt,ergeben
erhalten,erhalt,erhalten
erheben,erheb,erheben
erhebliche,erheb,erheblich
erhoehung,erhoeh,erhoehung
erinnern,erinn,erinnern
erkennen,erkenn,erkennen
erklaeren,erkla,erklaeren
erklaert,erklaert,erklaert
erklaerung,erklaer,erklaerung
erklaren,erklar,erklaren
erleben,erleb,erleben
erledigt,erledigt,erledigen
ermoglichen,ermog,ermoglichen
erneut,erneut,erneut
ernst,ernst,ernst
erreichen,erreich,erreichen
erreicht,erreicht,erreichen
erscheint,erscheint,erscheinen
erst,erst,erst
erste,erst,erste
ersten,erst,erst
erstens,erst,erstens
erster,erst,erst
erwaehnt,erwaehnt,erwaehnt
erwahnt,erwahnt,erwahnt
erwarten,erwart,erwarten
es,es,ich
etwa,etwa,etwa
etwas,etwas,etwas
euch,euch,sich
euer,euer,sich
eure,eur,mein
eurem,eur,mein
euren,eur,mein
eurer,eur,eurer
eures,eur,mein
euro,euro,euro
europa,europa,europa
europaeische,europaeisch,europaeische
europaeischen,europaeisch,europaeischen
europaische,europa,europaische
europaischen,europa,europaischen
faelle,faell,faelle
faellen,faell,faellen
fall,fall,fall
falle,fall,falle
fallen,fall,fallen
falsch,falsch,falsch
familie,famili,familie
fassung,fassung,fassung
fast,fast,fast
fdp,fdp,fdp
februar,februar,februar
ferner,fern,fern
fest,fest,fest
festgestellt,festgestellt,feststellen
feststellen,feststell,feststellen
feststellung,feststell,feststellung
festzustellen,festzustell,feststellen
finde,find,finden
finden,find,finden
findet,findet,finden
foerderung,foerder,foerderung
folge,folg,folgen
folgen,folg,folgen
folgende,folgend,folgend
folgendes,folgend,folgend
fordern,ford,fordern
forderung,forder,forderung
forderungen,forder,forderungen
form,form,form
formuliert,formuliert,formulieren
forsten,forst,forsten
frage,frag,fragen
fragen,frag,fragen
fraktion,fraktion,fraktion
fraktionen,fraktion,fraktionen
frankreich,frankreich,frankreich
frau,frau,frau
frauen,frau,frauen
freien,freien,frei
freiheit,freiheit,freiheit
freitag,freitag,freitag
freue,freu,freuen
freunde,freund,freunde
froh,froh,froh
frueher,frueh,frueher
frueheren,frueh,frueheren
fuehren,fuehr,fuehren
fuehrt,fuehrt,fuehrt
fuenf,fuenf,fuenf
fuer,fuer,fuer
fuhren,fuhr,fahren
fuhrt,fuhrt,fahren
funcke,funck,funcke
funf,funf,funf
funktioniert,funktioniert,funktionieren
fur,fur,fur
fuer,fuer,fuer
gab,gab,geben
ganz,ganz,ganz
ganze,ganz,ganze
ganzen,ganz,ganz
gar,gar,gar
geaendert,geaendert,geaendert
gebe,geb,geben
geben,geb,geben
gebiet,gebiet,gebiet
gebiete,gebiet,gebiete
gebieten,gebiet,gebieten
gebracht,gebracht,bringen
gedanken,gedank,gedanken
geehrte,geehrt,geehrt
geehrten,geehrt,geehrt
geehrter,geehrt,geehrt
gefahr,gefahr,gefahr
gefordert,gefordert,fordern
gefragt,gefragt,fragen
gefuehrt,gefuehrt,gefuehrt
gefuhrt,gefuhrt,gefuhrt
gefunden,gefund,finden
gegeben,gegeb,geben
gegen,geg,gegen
gegenprobe,gegenprob,gegenprobe
gegenteil,gegenteil,gegenteil
gegenuber,gegenub,gegenuber
gegenueber,gegenueb,gegenueber
gehabt,gehabt,haben
gehalten,gehalt,halten
gehen,geh,gehen
gehoeren,geho,gehoeren
gehoert,gehoert,gehoert
gehoren,gehor,gehoren
gehort,gehort,gehort
geht,geht,gehen
gekommen,gekomm,kommen
gelegenheit,geleg,gelegenheit
geleistet,geleistet,leisten
gelingt,gelingt,gelingen
gemacht,gemacht,machen
gemeinden,gemeind,gemeinden
gemeinsam,gemeinsam,gemeinsam
gemeinsame,gemeinsam,gemeinsam
gemeinsamen,gemeinsam,gemeinsam
gemeinschaft,gemeinschaft,gemeinschaft
genannt,genannt,nennen
genannten,genannt,genannt
genau,genau,genau
genauso,genauso,genauso
genommen,genomm,nehmen
genug,genug,genug
gerade,gerad,gerade
gerecht,gerecht,gerecht
gern,gern,gern
gerne,gern,gerne
gerstenmaier,gerstenmai,gerstenmaier
gesagt,gesagt,sagen
gesamte,gesamt,gesamt
gesamten,gesamt,gesamt
geschaeftsordnung,geschaeftsordn,geschaeftsordnung
geschaffen,geschaff,schaffen
geschehen,gescheh,geschehen
geschichte,geschicht,geschichte
geschieht,geschieht,geschehen
gesehen,geseh,sehen
gesellschaft,gesellschaft,gesellschaft
gesetz,gesetz,gesetz
gesetze,gesetz,gesetze
gesetzentwurf,gesetzentwurf,gesetzentwurf
gesetzes,gesetz,gesetzes
gesetzt,gesetzt,setzen
gesichtspunkt,gesichtspunkt,gesichtspunkt
gesprochen,gesproch,sprechen
gestatten,gestatt,gestatten
gestellt,gestellt,stellen
gestern,gest,gestern
getan,getan,tun
getragen,getrag,tragen
getroffen,getroff,triefen
gewesen,gewes,sein
gewisse,gewiss,gewiß
gewissen,gewiss,gewiß
geworden,geword,werden
gewuenscht,gewuenscht,gewuenscht
gezeigt,gezeigt,zeigen
gibt,gibt,geben
gilt,gilt,gelten
ging,ging,gehen
glaube,glaub,glauben
glauben,glaub,glauben
gleich,gleich,gleichen
gleiche,gleich,gleich
gleichen,gleich,gleich
gleichermassen,gleichermass,gleichermassen
gleichzeitig,gleichzeit,gleichzeitig
grosse,gross,grosse
grossen,gross,grossen
grosser,gross,grosser
gruende,gruend,gruende
gruenden,gruend,gruenden
gruenen,gruen,gruenen
grund,grund,grund
grunde,grund,grunde
grunden,grund,grunden
grundgesetz,grundgesetz,grundgesetz
grundgesetzes,grundgesetz,grundgesetzes
grundlage,grundlag,grundlage
grundsaetzlich,grundsaetz,grundsaetzlich
grundsatz,grundsatz,grundsatz
grune,grun,grune
grunen,grun,grunen
gut,gut,gut
gute,gut,gut
guten,gut,gut
guter,gut,gut
gutes,gut,gutes
hab,hab,hab
habe,hab,habe
haben,hab,haben
haelt,haelt,haelt
haette,haett,haette
haetten,haett,haetten
halte,halt,halte
halten,halt,halten
haltung,haltung,haltung
hand,hand,hand
handeln,handeln,handeln
handelt,handelt,handeln
handzeichen,handzeich,handzeichen
hans,han,hans
hat,hat,haben
hatte,hatt,haben
hatten,hatt,haben
haus,haus,haus
hause,haus,hause
hauses,haus,hauses
heisst,heisst,heisst
helfen,helf,helfen
her,her,her
heraus,heraus,heraus
herr,herr,herr
herren,herr,herren
herrn,herrn,herrn
herzlichen,herzlich,herzlich
heute,heut,heute
heutigen,heutig,heutig
hier,hier,hier
hierher,hierh,hierher
hierzu,hierzu,hierzu
hilfe,hilf,hilfe
hin,hin,hin
hinaus,hinaus,hinaus
hinblick,hinblick,hinblick
hingewiesen,hingewies,hinweisen
hinsichtlich,hinsicht,hinsichtlich
hinter,hint,hinter
hintergrund,hintergrund,hintergrund
hinweisen,hinweis,hinweisen
hinzu,hinzu,hinzu
hoch,hoch,hoch
hoehe,hoeh,hoehe
hoere,hoer,hoere
hoeren,hoer,hoeren
hoffe,hoff,hoffen
hoffen,hoff,hoffen
hohe,hoh,hoch
hohen,hoh,hoch
horen,hor,horen
ich,ich,ich
ihm,ihm,ich
ihn,ihn,ich
ihnen,ihn,ich
ihr,ihr,mein
ihre,ihr,mein
ihrem,ihr,mein
ihren,ihr,mein
ihrer,ihr,sich
ihres,ihr,mein
im,im,im
immer,imm,immer
immerhin,immerhin,immerhin
in,in,in
indem,ind,indem
inhalt,inhalt,inhalt
innerhalb,innerhalb,innerhalb
innern,inn,innern
ins,ins,ins
insbesondere,insbesond,insbesondere
insgesamt,insgesamt,insgesamt
insofern,insof,insofern
interesse,interess,interesse
interessen,interess,interessen
internationale,international,internationale
internationalen,international,international
inzwischen,inzwisch,inzwischen
ist,ist,sein
ja,ja,ja
jaeger,jaeg,jaeger
jahr,jahr,jahr
jahre,jahr,jahre
jahren,jahr,jahren
jahres,jahr,jahres
januar,januar,januar
je,je,je
jede,jed,jed
jedem,jed,jed
jeden,jed,jed
jedenfalls,jedenfall,jedenfalls
jeder,jed,jed
jedes,jed,jed
jedoch,jedoch,jedoch
jemand,jemand,jemand
jene,jen,jen
jenem,jen,jen
jenen,jen,jen
jener,jen,jen
jenes,jen,jen
jetzt,jetzt,jetzt
juli,juli,juli
junge,jung,junge
juni,juni,juni
kam,kam,kommen
kann,kann,können
kaum,kaum,kaum
kein,kein,kein
keine,kein,kein
keinem,kein,kein
keinen,kein,kein
keiner,kein,kein
keines,kein,kein
keineswegs,keinesweg,keineswegs
kennen,kenn,kennen
kenntnis,kenntnis,kenntnis
klar,klar,klaren
klare,klar,klaren
klaren,klar,klar
klaus,klaus,klaus
kleine,klein,kleine
kleinen,klein,klein
koalition,koalition,koalition
koenne,koenn,koenne
koennen,koenn,koennen
koennte,koennt,koennte
koennten,koennt,koennten
kohl,kohl,kohl
kollege,kolleg,kollege
kollegen,kolleg,kollegen
kollegin,kollegin,kollegin
kolleginnen,kolleginn,kolleginnen
komme,komm,kommen
kommen,komm,kommen
kommenden,kommend,kommend
kommission,kommission,kommission
kommt,kommt,kommen
kommunen,kommun,kommunen
konkret,konkret,konkret
konnen,konn,konnen
konnte,konnt,können
konnten,konnt,können
konzept,konzept,konzept
kosten,kost,kosten
kraft,kraft,kraft
kritik,kritik,kritik
kuenftig,kuenftig,kuenftig
kunftig,kunftig,kunftig
kurz,kurz,kurz
koennen,koenn,koennen
koennte,koennt,koennte
laender,laend,laender
laendern,laend,laendern
laengst,laeng,laengst
laesst,laesst,laesst
laesst,laesst,laesst
lage,lag,lage
land,land,land
lande,land,lande
lander,land,lander
landern,land,landern
landes,land,landes
lange,lang,lang
langer,lang,lang
langst,lang,langen
lassen,lass,lassen
lasst,lasst,lasst
last,last,lesen
laufe,lauf,laufe
laut,laut,laut
least,least,least
leben,leb,leben
lediglich,ledig,lediglich
legen,leg,legen
legislaturperiode,legislaturperiod,legislaturperiode
leicht,leicht,leicht
leider,leid,leider
leisten,leist,leisten
leistungen,leistung,leistungen
lesen,les,lesen
lesung,lesung,lesung
letzte,letzt,letzte
letzten,letzt,letzt
leute,leut,leute
liebe,lieb,lieb
lieber,lieb,lieb
liegen,lieg,liegen
liegt,liegt,liegen
linie,lini,linie
linke,link,link
linken,link,link
loesen,loes,loesen
loesung,loesung,loesung
losen,los,losen
losung,losung,losung
machen,mach,machen
macht,macht,machen
maerz,maerz,maerz
mag,mag,mögen
mai,mai,mai
mal,mal,mal
man,man,man
manche,manch,manch
manchem,manch,manch
manchen,manch,manch
mancher,manch,manch
manches,manch,manch
manchmal,manchmal,manchmal
mann,mann,mann
mark,mark,mark
masse,mass,masse
massnahmen,massnahm,massnahmen
mehr,mehr,mehr
mehrfach,mehrfach,mehrfach
mehrheit,mehrheit,mehrheit
mein,mein,meinen
meine,mein,meinen
meinem,mein,mein
meinen,mein,mein
meiner,mein,sich
meines,mein,mein
meinung,meinung,meinung
meisten,meist,meist
menschen,mensch,menschen
mich,mich,sich
milliarden,milliard,milliarden
millionen,million,millionen
mindestens,mindest,mindestens
minister,minist,minister
ministerin,ministerin,ministerin
ministerium,ministerium,ministerium
mir,mir,sich
mit,mit,mit
miteinander,miteinand,miteinander
mitglieder,mitglied,mitglieder
mittel,mittel,mittel
mitteln,mitteln,mitteln
mittlerweile,mittlerweil,mittlerweile
mittwoch,mittwoch,mittwoch
mochte,mocht,mögen
moechte,moecht,moechte
moechten,moecht,moechten
moeglich,moeglich,moeglich
moeglicherweise,moeglicherweis,moeglicherweise
moeglichkeit,moeglich,moeglichkeit
moeglichkeiten,moeglich,moeglichkeiten
moeglichst,moeglich,moeglichst
moglich,moglich,moglich
monaten,monat,monaten
montag,montag,montag
morgen,morg,morgen
mueller,muell,mueller
muesse,muess,muesse
muessen,muess,muessen
muesste,muesst,muesste
muessten,muesst,muessten
muss,muss,muss
mussen,muss,mussen
musste,musst,musste
mussten,musst,mussten
muss,muss,muss
musste,musst,musste
nach,nach,nach
nachdem,nachd,nachdem
nachgefragt,nachgefragt,nachfragen
nachher,nachh,nachher
nachste,nach,nachste
nachsten,nach,nachsten
nachster,nach,nachster
naechsten,naech,naechsten
naemlich,naemlich,naemlich
namen,nam,namen
namens,nam,namens
namlich,namlich,namlich
natuerlich,natu,natuerlich
naturlich,natur,naturlich
neben,neb,neben
nehme,nehm,nehmen
nehmen,nehm,nehmen
nein,nein,nein
nennen,nenn,nennen
neu,neu,neu
neue,neu,neue
neuen,neu,neu
nicht,nicht,nicht
nichts,nicht,nichts
nie,nie,nie
niemand,niemand,niemand
nimmt,nimmt,nehmen
noch,noch,noch
noetig,noetig,noetig
not,not,not
notwendig,notwend,notwendig
notwendige,notwend,notwendige
notwendigen,notwend,notwendig
notwendigkeit,notwend,notwendigkeit
november,novemb,november
nr,nr,nr
nun,nun,nun
nunmehr,nunmehr,nunmehr
nur,nur,nur
nutzen,nutz,nutzen
ob,ob,ob
obwohl,obwohl,obwohl
oder,oder,oder
oeffentliche,oeffent,oeffentliche
oeffentlichen,oeffent,oeffentlichen
oeffentlichkeit,oeffent,oeffentlichkeit
of,of,of
offen,off,offen
offenbar,offenbar,offenbaren
offensichtlich,offensicht,offensichtlich
offentlichen,offent,offentlichen
oft,oft,oft
ohne,ohn,ohne
ohnehin,ohnehin,ohnehin
ok,ok,ok
oktober,oktob,oktober
opposition,opposition,opposition
ordnung,ordnung,ordnung
ort,ort,ort
ost,ost,ost
paar,paar,paar
parl,parl,parl
parlament,parlament,parlament
parlamentarischer,parlamentar,parlamentarisch
parlaments,parlament,parlaments
partei,partei,partei
parteien,partei,parteien
passiert,passiert,passieren
pds,pds,pds
peter,pet,peter
pflicht,pflicht,pflicht
plenum,plenum,plenum
politik,polit,politik
politiker,polit,politiker
politisch,polit,politisch
politische,polit,politische
politischen,polit,politisch
position,position,position
praesident,praesident,praesident
praesidenten,praesident,praesidenten
praesidentin,praesidentin,praesidentin
praktisch,praktisch,praktisch
prasident,prasident,prasident
prasidentin,prasidentin,prasidentin
praxis,praxis,praxis
presse,press,pressen
pro,pro,pro
problem,probl,problem
probleme,problem,probleme
professor,professor,professor
programm,programm,programm
prozent,prozent,prozent
pruefen,pruef,pruefen
pruefung,pruefung,pruefung
punkt,punkt,punkt
punkte,punkt,punkte
rahmen,rahm,rahmen
rahmenbedingungen,rahmenbeding,rahmenbedingungen
raum,raum,raum
rechnen,rechn,rechnen
rechnung,rechnung,rechnung
recht,recht,recht
rede,red,rede
reden,red,reden
redezeit,redezeit,redezeit
redner,redn,redner
reform,reform,reform
regelung,regel,regelung
regelungen,regel,regelungen
regierung,regier,regierung
reicht,reicht,reichen
reihe,reih,reihe
renger,reng,renger
richtig,richtig,richtig
richtige,richtig,richtige
richtung,richtung,richtung
rolle,roll,rolle
ruecksicht,ruecksicht,ruecksicht
rufe,ruf,rufe
rund,rund,rund
sache,sach,sache
sage,sag,sage
sagen,sag,sagen
sagt,sagt,sagen
sagte,sagt,sagen
sagten,sagt,sagen
samstag,samstag,samstag
satz,satz,satz
schaffen,schaff,schaffen
schauen,schau,schauen
scheint,scheint,scheinen
schliesslich,schliesslich,schliesslich
schluss,schluss,schluss
schluss,schluss,schluss
schmid,schmid,schmid
schmidt,schmidt,schmidt
schmitt,schmitt,schmitt
schnell,schnell,schnellen
schoen,schoen,schoen
schoettle,schoettl,schoettle
schon,schon,schon
schritt,schritt,schritt
schutz,schutz,schutz
schwer,schwer,schwer
schwierigkeiten,schwierig,schwierigkeiten
sehe,seh,sehen
sehen,seh,sehen
sehr,sehr,sehr
sei,sei,sein
seien,seien,sein
sein,sein,mein
seine,sein,mein
seinem,sein,mein
seinen,sein,seinen
seiner,sein,sich
seines,sein,mein
seit,seit,seit
seitdem,seitd,seitdem
seite,seit,seite
seiten,seit,seiten
selber,selb,selber
selbst,selb,selbst
selbstverstaendlich,selbstverstaend,selbstverstaendlich
september,septemb,september
setzen,setz,setzen
setzt,setzt,setzen
sich,sich,sich
sicher,sich,sichern
sicherheit,sich,sicherheit
sicherlich,sich,sicherlich
sicht,sicht,sicht
sie,sie,ich
sieht,sieht,sehen
sind,sind,sein
sinn,sinn,sinn
sinne,sinn,sinne
sinnvoll,sinnvoll,sinnvoll
situation,situation,situation
sitzung,sitzung,sitzung
so,so,so
soeben,soeb,soeben
sofort,sofort,sofort
sogar,sogar,sogar
sogenannte,sogenannt,sogenannt
sogenannten,sogenannt,sogenannt
solche,solch,solche
solchem,solch,solch
solchen,solch,solch
solcher,solch,solch
solches,solch,solch
soll,soll,soll
sollen,soll,sollen
sollte,sollt,sollen
sollten,sollt,sollen
sondern,sond,sondern
sonntag,sonntag,sonntag
sonst,sonst,sonst
sorge,sorg,sorge
sorgen,sorg,sorgen
soweit,soweit,soweit
sowie,sowi,sowie
sowohl,sowohl,sowohl
sozialdemokraten,sozialdemokrat,sozialdemokraten
soziale,sozial,soziale
